ParentSmiles,Status Influx,Status Efflux,Status PAMPA,Status BBB,Status CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,Testrain Influx,Testrain PAMPA,Testin CNS,Testain BBB,Testrain Efflux,Efflux Prediction Properties,Efflux Probability Properties,PAMPA Prediction Properties,PAMPA Probability Properties,BBB Prediction Properties,BBB Probability Properties,CNS Prediction Properties,CNS Probability Properties,Influx Prediction Properties,Influx Probability Properties,Efflux Prediction Fingerprints,Efflux Probability Fingerprints,PAMPA Prediction Fingerprints,PAMPA Probability Fingerprints,BBB Prediction Fingerprints,BBB Probability Fingerprints,CNS Prediction Fingerprints,CNS Probability Fingerprints,Influx Prediction Fingerprints,Influx Probability Fingerprints
COc1c(C)c2c(C(=O)OC2)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1CC=C(C)CCC(=O)O,0.0,NaN,NaN,NaN,NaN,0.27,189.28,0.3,-4.73,10,5,496.1580763359999,9,Train,NaN,NaN,NaN,NaN,1,0.9441255331039429,0,0.008776532486081123,0,0.001574521535076201,0,0.00024249950365629047,0,0.004963577724993229,1,0.9605950117111206,1,0.712862491607666,0,0.04117229953408241,0,0.0004310517106205225,0,0.0035830815322697163
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,NaN,NaN,NaN,NaN,4.19,37.3,-1.2,1.83,1,1,413.973702572,6,Train,NaN,NaN,NaN,NaN,1,0.65248042345047,1,0.999782145023346,1,0.9974256157875061,0,0.3276980519294739,0,0.007284827530384064,0,0.1283097118139267,0,0.08543127030134201,1,0.933037519454956,0,0.07339984178543091,0,0.024983055889606476
N[C@@H](CC(=O)O)C(=O)O,0.0,NaN,NaN,NaN,0.0,-1.04,100.62000000000002,0.88,-4.37,3,3,133.037507704,3,Train,NaN,Train,NaN,NaN,0,0.3921692967414856,0,0.05309461057186127,1,0.9799532890319824,0,0.01080396119505167,0,0.0008115658420138061,0,0.41974538564682007,0,0.032810889184474945,1,0.8000676035881042,0,0.01892406865954399,0,0.002619233913719654
N[C@@H](CCC(=O)N[C@@H](CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)O)C(=O)O,0.0,NaN,NaN,NaN,NaN,-1.35,275.76,-1.34,-3.77,10,5,473.08526280800004,13,Train,NaN,NaN,NaN,NaN,1,0.985919713973999,0,0.005061734467744827,0,0.051836490631103516,0,9.409133053850383e-05,0,0.008983399718999863,1,0.981203019618988,0,0.012681584805250168,0,0.00730627728626132,0,0.014032935723662376,0,0.009114976041018963
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.0,NaN,0.0,NaN,0.0,1.72,94.83,-3.36,1.66,5,3,362.20932405999986,2,Train,Train,Test,NaN,NaN,1,0.9340216517448425,0,0.014788116328418255,0,0.32470089197158813,0,0.014355411753058434,0,0.01160484179854393,1,0.9254792928695679,0,0.051810186356306076,1,0.5405749082565308,0,0.005024138372391462,0,0.004543141461908817
O=C(O)CCC(=O)O,0.0,NaN,NaN,NaN,0.0,-0.42,74.6,0.93,-5.0,2,2,118.02660867200001,3,Train,NaN,Train,NaN,NaN,0,0.033988017588853836,0,0.06764163076877594,1,0.962187647819519,0,0.011972926557064056,0,0.008618961088359356,0,0.2561752498149872,0,0.016435205936431885,1,0.5714888572692871,0,0.01745859906077385,0,0.0025252613704651594
CCOc1ccc(CC(CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1,0.0,NaN,NaN,NaN,NaN,-0.48,205.45,0.28,-4.61,9,5,527.2115088759998,20,Train,NaN,NaN,NaN,NaN,1,0.7775276303291321,0,0.003766072215512395,0,0.1152762696146965,0,0.00025961254141293466,0,0.031696759164333344,1,0.6391053795814514,1,0.6305164694786072,0,0.1746191829442978,0,0.0014030961319804192,0,0.019850052893161774
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,0.0,NaN,NaN,0.0,0.0,1.86,95.94,0.42,-1.43,5,2,376.19982199599997,9,Train,NaN,Test,Test,NaN,1,0.7071483135223389,1,0.519288182258606,0,0.038453709334135056,0,0.010712701827287674,0,0.04117100313305855,0,0.45654022693634033,1,0.9300448298454285,1,0.5928714275360107,0,0.016369393095374107,0,0.0016045040683820844
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C,0.0,NaN,NaN,NaN,NaN,5.04,195.43,-6.4,4.21,13,3,913.5551415880001,6,Train,NaN,NaN,NaN,NaN,1,0.9419268369674683,1,0.6504460573196411,0,0.128978431224823,0,0.04561426118016243,0,0.0013694434892386198,1,0.9916050434112549,1,0.5021486282348633,0,0.01366373524069786,0,0.18641158938407898,0,0.0011417962377890944
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C,0.0,NaN,NaN,NaN,NaN,5.35,204.66,-6.61,4.25,14,3,957.5813563360001,9,Train,NaN,NaN,NaN,NaN,1,0.815239429473877,0,0.40435633063316345,0,0.04982902482151985,0,0.0017546468880027533,0,0.0017841781955212355,1,0.9865056872367859,0,0.33769139647483826,0,0.10122963786125183,0,0.04452599212527275,0,0.0013271751813590527
